County,Year,Tax_type,Amount
Carlow,2025,VAT,126.92
Carlow,2025,Corporation Tax,41.9
Carlow,2025,Capital Gains Tax,14.94
Carlow,2025,Income Taxes,212.49
Carlow,2025,Total,396.25
Cavan,2025,VAT,145.89
Cavan,2025,Corporation Tax,115.83
Cavan,2025,Capital Gains Tax,16.12
Cavan,2025,Income Taxes,264.29
Cavan,2025,Total,542.13
Clare,2025,VAT,220.63
Clare,2025,Corporation Tax,317.56
Clare,2025,Capital Gains Tax,34.66
Clare,2025,Income Taxes,542.37
Clare,2025,Total,1115.22
Cork,2025,VAT,2143.88
Cork,2025,Corporation Tax,13800.99
Cork,2025,Capital Gains Tax,233.49
Cork,2025,Income Taxes,3030.8500000000004
Cork,2025,Total,19209.21
Donegal,2025,VAT,232.75
Donegal,2025,Corporation Tax,132.36
Donegal,2025,Capital Gains Tax,16.73
Donegal,2025,Income Taxes,362.99
Donegal,2025,Total,744.83
Dublin,2025,VAT,12166.99
Dublin,2025,Corporation Tax,16675.24
Dublin,2025,Capital Gains Tax,883.31
Dublin,2025,Income Taxes,18268.800000000003
Dublin,2025,Total,47994.340000000004
Galway,2025,VAT,530.84
Galway,2025,Corporation Tax,413.99
Galway,2025,Capital Gains Tax,79.15
Galway,2025,Income Taxes,1410.9
Galway,2025,Total,2434.88
Kerry,2025,VAT,256.34
Kerry,2025,Corporation Tax,93.69
Kerry,2025,Capital Gains Tax,48.44
Kerry,2025,Income Taxes,968.73
Kerry,2025,Total,1367.2
Kildare,2025,VAT,730.48
Kildare,2025,Corporation Tax,418.36
Kildare,2025,Capital Gains Tax,82.01
Kildare,2025,Income Taxes,937.95
Kildare,2025,Total,2168.8
Kilkenny,2025,VAT,171.13
Kilkenny,2025,Corporation Tax,84.38
Kilkenny,2025,Capital Gains Tax,21.21
Kilkenny,2025,Income Taxes,496.32000000000005
Kilkenny,2025,Total,773.0400000000001
Laois,2025,VAT,131.72
Laois,2025,Corporation Tax,34.01
Laois,2025,Capital Gains Tax,12.02
Laois,2025,Income Taxes,145.76
Laois,2025,Total,323.51
Leitrim,2025,VAT,251.99
Leitrim,2025,Corporation Tax,15.3
Leitrim,2025,Capital Gains Tax,5.17
Leitrim,2025,Income Taxes,264.71999999999997
Leitrim,2025,Total,537.18
Limerick,2025,VAT,434.8
Limerick,2025,Corporation Tax,343.59
Limerick,2025,Capital Gains Tax,109.65
Limerick,2025,Income Taxes,1033.71
Limerick,2025,Total,1921.75
Longford,2025,VAT,57.46
Longford,2025,Corporation Tax,37.9
Longford,2025,Capital Gains Tax,7.62
Longford,2025,Income Taxes,102.94
Longford,2025,Total,205.92
Louth,2025,VAT,317.54
Louth,2025,Corporation Tax,158.87
Louth,2025,Capital Gains Tax,66.78
Louth,2025,Income Taxes,426.35999999999996
Louth,2025,Total,969.55
Mayo,2025,VAT,209.45
Mayo,2025,Corporation Tax,370.83
